,study,taxon,phylum,common_name,number_of_populations,ecosystem,dispersal_mode,acclimation_time,source_population,latitude,longitude,life_history_stage,sex,number_acc_temps,acclimation_temperature_1,acclimation_temperature_2,measurement_level,thermal_limit_type,thermal_limit_1,thermal_limit_2,thermal_limit_error_type,thermal_limit_error_1,thermal_limit_error_2,n_1,n_2,ni,max_temp,min_temp,mean_temp,temp_range,upper_lower,ARR
447,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,BDM,42.197075,-124.374844,adult,female,2,20,25,population,LD50_high,35.066,35.723,std_err,0.537,0.14739,1,1,22,20.9,6.825,12.725,14.075,upper,0.1314
448,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,HEC,44.115493,-124.124432,adult,female,2,20,25,population,LD50_high,34.622,35.018,std_err,0.266,0.086734,1,1,22,20.3,5.775,12,14.525,upper,0.0792
449,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,PAC,48.829826,-125.151682,adult,female,2,20,25,population,LD50_high,34.276,35.51,std_err,0.463,0.13007,1,1,22,18.5,5.1,10.74,13.4,upper,0.2468
450,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,RC,50.579756,-128.237292,adult,female,2,20,25,population,LD50_high,33.813,34.425,std_err,0.382,0.11256,1,1,22,15.6,5.3,9.8,10.3,upper,0.1224
451,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<1,6805A,-19.3629,146.4769,adult,uncertain,2,30,35,individual,CTmax,39.3142857,40.31428571,std_dev,0.88043446,0.350491021,14,14,290,31.375,13.525,23.3,17.85,upper,0.200000002
452,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<1,5220D,-19.2093,146.4113,adult,uncertain,2,30,35,individual,CTmax,41.5692308,41.75,std_dev,0.38812501,0.360254001,13,13,290,28.675,11.75,20.975,16.925,upper,0.03615384
453,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<1,5220A,-19.0178,146.1549,adult,uncertain,2,30,35,individual,CTmax,41.8444444,41.16580518,std_dev,1.00636861,0.31012057,9,9,290,27.025,10.3,19.3,16.725,upper,-0.135727844
454,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<3,5220E,-18.9583,146.1523,adult,uncertain,2,30,35,individual,CTmax,41.6625,41.95,std_dev,0.26044833,0.206559112,16,16,290,27.225,10.7,19.625,16.525,upper,0.0575
455,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<5,6101A,-18.9106,146.2508,adult,uncertain,2,30,35,individual,CTmax,39.8636364,40.30909091,std_dev,1.94693232,2.017649397,11,11,290,32.025,15.5,24.5,16.525,upper,0.089090902
456,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<7,4272A,-18.8458,145.9041,adult,uncertain,2,30,35,individual,CTmax,39.36,39.4,std_dev,0.15055453,0.440454311,10,10,290,28.62,11.32,20.62,17.3,upper,0.008
457,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<9,4105A,-18.7992,145.9086,adult,uncertain,2,30,35,individual,CTmax,42.0125,42.23125,std_dev,0.60649265,0.375444181,16,16,290,29.275,12.1,21.375,17.175,upper,0.04375
458,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<11,3792A,-18.7921,145.8345,adult,uncertain,2,30,35,individual,CTmax,40.04,39.88,std_dev,0.24083189,0.116619038,5,5,290,28.8,11.4,20.75,17.4,upper,-0.032
459,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<13,3505B,-18.7788,145.825,adult,uncertain,2,30,35,individual,CTmax,38.8666667,39.41111111,std_dev,0.57008771,0.577590782,9,9,290,28.65,11.325,20.65,17.325,upper,0.108888882
460,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<15,4577A,-18.7736,145.9579,adult,uncertain,2,30,35,individual,CTmax,39.71,39.88,std_dev,0.36651512,0.3765339,10,10,290,31.9,14.65,23.95,17.25,upper,0.034
461,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<17,5821A,-18.6096,146.18,adult,uncertain,2,30,35,individual,CTmax,41.925,42.225,std_dev,0.47434165,0.426781978,8,8,290,31.25,16.275,24.4,14.975,upper,0.06
462,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<19,3498A,-18.6062,145.7915,adult,uncertain,2,30,35,individual,CTmax,41.2714286,42.16428571,std_dev,0.69771999,0.393421174,14,14,290,28.85,12.075,21.075,16.775,upper,0.178571423
463,Philips_et_al_2015,Lampropholis_coggeri,Chordata,lizard,13,terrestrial,direct,<21,2943A,-18.5614,145.7789,adult,uncertain,2,30,35,individual,CTmax,38.8,39.58,std_dev,0.66164777,0.630343822,10,10,290,28.875,12.25,21.175,16.625,upper,0.156
464,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,KL,25.283653,-80.330295,adult,female,2,18,22,population,LD50_high,31.99242,33.82464,std_err,0.21035,0.215352,1,1,28,30.55818,22.822811,27.005703,7.735369,upper,0.458055
465,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,PR,26.484712,-82.011192,adult,female,2,18,22,population,LD50_high,29.51297,31.20154,std_err,0.2915942,0.2909967,1,1,28,30.90531,17.622208,25.392895,13.283102,upper,0.4221425
466,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,PG,26.940398,-82.051036,adult,female,2,18,22,population,LD50_high,29.2356,31.2526,std_err,0.5038,0.501747,1,1,28,30.803257,17.073378,25.148806,13.729879,upper,0.50425
467,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,MR,27.541441,-82.688451,adult,female,2,18,22,population,LD50_high,28.917,28.917,std_err,0.30657,0.30657,1,1,28,30.616905,16.039289,24.633297,14.577616,upper,0
468,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,SP,27.633728,-82.6674,adult,female,2,18,22,population,LD50_high,26.5059,29.644,std_err,0.5517,0.3861363,1,1,28,30.597477,16.029791,24.617729,14.567686,upper,0.784525
469,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,NS,29.037478,-80.908512,adult,female,2,18,22,population,LD50_high,26.48557,30.13375,std_err,0.5794033,0.6071921,1,1,28,28.594151,18.722908,24.156425,9.871243,upper,0.912045
470,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,CT,41.320591,-72.001564,adult,female,2,18,22,population,LD50_high,25.92,29.2544,std_err,0.426579,0.3938751,1,1,28,22.667253,2.710648,12.58287,19.956605,upper,0.8336
471,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,ME,44.615086,-67.497436,adult,female,2,18,22,population,LD50_high,25.9379,29.21343,std_err,0.546316,0.512062,1,1,28,15.335692,2.759924,8.595744,12.575768,upper,0.8188825
472,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,SA,45.100059,-67.055032,adult,female,2,18,22,population,LD50_high,26.3281,30.497,std_err,0.6849089,0.27916,1,1,28,15.203428,1.881384,8.449094,13.322044,upper,1.042225
473,Sasaki_and_Dam_2019,Acartia_tonsa,Arthropoda,copepod,10,ocean,planktonic,2+,SB,46.27291,-64.575143,adult,female,2,18,22,population,LD50_high,24.295,30.3619,std_err,0.5686669,0.3553037,1,1,28,20.201029,-1.600553,8.287957,21.801582,upper,1.516725
474,Sasaki_et_al_2019,Acartia_tonsa,Arthropoda,copepod,2,ocean,planktonic,2+,PG,26.940398,-82.051036,adult,female,2,18,22,population,LD50_high,31.48687,31.6295,std_err,0.3837,0.2283328,1,1,28,30.803257,17.073378,25.148806,13.729879,upper,0.0356575
475,Sasaki_et_al_2019,Acartia_tonsa,Arthropoda,copepod,2,ocean,planktonic,2+,PG,26.940398,-82.051036,adult,male,2,18,22,population,LD50_high,30.04441,30.19157,std_err,0.2911847,0.309329,1,1,28,30.803257,17.073378,25.148806,13.729879,upper,0.03679
476,Sasaki_et_al_2019,Acartia_tonsa,Arthropoda,copepod,2,ocean,planktonic,2+,CT,41.320591,-72.001564,adult,female,2,18,22,population,LD50_high,30.2282,31.55975,std_err,0.3847615,0.4161805,1,1,28,22.667253,2.710648,12.58287,19.956605,upper,0.3328875
477,Sasaki_et_al_2019,Acartia_tonsa,Arthropoda,copepod,2,ocean,planktonic,2+,CT,41.320591,-72.001564,adult,male,2,18,22,population,LD50_high,27.85826,29.29172,std_err,0.4445083,0.3746631,1,1,28,22.667253,2.710648,12.58287,19.956605,upper,0.358365
478,Tepolt_et_al_2014,Carcinus_maenas,Arthropoda,crab,7,intertidal,planktonic,<1,Skitnepollen,60.5061,5.0226,adult,uncertain,2,5,25,individual,CTmax,34.2,36.1,std_err,0.4,0.3,8,10,18,17.02857143,0.328571429,7.942857143,16.7,upper,0.095
479,Tepolt_et_al_2014,Carcinus_maenas,Arthropoda,crab,7,intertidal,planktonic,<1,Seixal,38.6455,-9.1036,adult,uncertain,2,5,25,individual,CTmax,35.5,37.3,std_err,0.5,0.2,12,11,23,25.46,9.92,17,15.54,upper,0.09
485,Underwood_et_al_2012,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,Carr_Creek,39.61167,-108.575,juvenile,uncertain,3,10,15,population,CTmax,28.2,28.8,std_dev,0.6,0.5,17,13,104,27.675,-11.725,6.35,39.4,upper,0.12
487,Underwood_et_al_2012,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,Trapper_Creek,39.62333,-108.00833,juvenile,uncertain,3,10,20,population,CTmax,28,29.6,std_dev,0.6,0.5,9,9,104,25.9,-12.45,5,38.35,upper,0.16
490,Underwood_et_al_2012,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,Lake_Nanita,40.25667,-105.71667,juvenile,uncertain,3,10,20,population,CTmax,27.7,29.1,std_dev,0.6,0.7,5,5,104,18.725,-16.3,-0.5,35.025,upper,0.14
496,van_heerwaarden_et_al_2017,Drosophila melanogaster,Arthropoda,fruit fly,2,terrestrial,NA,1,Melbourne,-37.8136,144.9631,adult,uncertain,6,16,30,individual,CTmax,39.46,40.32666667,std_err,0.289589484,0.370398977,30,30,360,24.75,7.475,14.825,17.275,upper,0.061904762
511,van_heerwaarden_et_al_2017,Drosophila melanogaster,Arthropoda,fruit fly,2,terrestrial,NA,1,Innisfail,-17.52,146.04,adult,uncertain,6,16,30,individual,CTmax,39.46666667,40.45333333,std_err,0.357513765,0.375759767,30,30,360,29.4,19,24.7,10.4,upper,0.07047619
522,Villeneuve_et_al,Urosalpinx cinerea,Mollusca,snail,6,ocean,direct,1,Beaufort,34.718,-76.671,juvenile,uncertain,2,20,24,population,LD50_high,39.833345,37.6482113,NA,NA,NA,1,1,10,28.164886,12.945122,21.591877,15.219764,upper,-0.546283425
523,Villeneuve_et_al,Urosalpinx cinerea,Mollusca,snail,6,ocean,direct,1,Beaufort,34.718,-76.671,juvenile,uncertain,2,20,24,population,LD50_high,38.7178694,38.9967834,NA,NA,NA,1,1,10,28.164886,12.945122,21.591877,15.219764,upper,0.0697285
524,Villeneuve_et_al,Urosalpinx cinerea,Mollusca,snail,6,ocean,direct,1,Folly Beach,32.66,-79.943,juvenile,uncertain,2,20,24,population,LD50_high,40.0324093,39.1215801,NA,NA,NA,1,1,10,28.944557,14.927087,22.447884,14.01747,upper,-0.2277073
526,Villeneuve_et_al,Urosalpinx cinerea,Mollusca,snail,6,ocean,direct,1,Oyster,37.288,-75.924,juvenile,uncertain,2,20,24,population,LD50_high,39.833345,35.6021795,NA,NA,NA,1,1,10,27.199184,3.523742,16.365797,23.675442,upper,-1.057791375
527,Villeneuve_et_al,Urosalpinx cinerea,Mollusca,snail,6,ocean,direct,1,Oyster,37.288,-75.924,juvenile,uncertain,2,20,24,population,LD50_high,39.1910029,38.3346084,NA,NA,NA,1,1,10,27.199184,3.523742,16.365797,23.675442,upper,-0.214098625
529,Wang_et_al_2019,Lottia_limatula,Mollusca,limpet,2,marine,uncertain,<1,Elkhorn_Slough,36.805779,-121.790989,adult,uncertain,3,13,21,individual,CTmax,35.05076142,36.01522843,std_dev,1.602070452,3.535342589,7,6,21,24.6,6.975,15.1,17.625,upper,0.120558376
531,Wang_et_al_2019,Lottia_limatula,Mollusca,limpet,2,marine,uncertain,<1,Tomales_Bay,38.202356,-122.937555,adult,uncertain,3,13,21,individual,CTmax,36.16751269,36.54822335,std_dev,1.257850454,1.159845715,8,5,19,23.975,7.2,14.9,16.775,upper,0.047588832
532,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Nuy,-33.67,19.62,adult,uncertain,3,20,30,individual,CTmax,42.51655629,43.2781457,std_err,0.099337748,0.132450331,20,20,480,28.625,5.5,16.875,23.125,upper,0.07615894
534,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Wellington,-33.39,18.57,adult,uncertain,3,20,30,individual,CTmax,41.82119205,42.71523179,std_err,0.066225166,0.099337748,20,20,480,27.22,8.1,17.42,19.12,upper,0.089403974
536,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Porterville,-33.01,19,adult,uncertain,3,20,30,individual,CTmax,42.54966887,43.21192053,std_err,0.033112583,0.099337748,20,20,480,30.875,6.225,18.2,24.65,upper,0.066225166
538,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Ceres,-33.34,19.57,adult,uncertain,3,20,30,individual,CTmax,42.21854305,43.11258278,std_err,0.231788079,0.132450331,20,20,480,25.58,0.58,12.8,25,upper,0.089403974
540,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Burgershall,-25.06,31.05,adult,uncertain,3,20,30,individual,CTmax,43.80794702,44.00662252,std_err,0.496688742,0.198675497,20,20,480,27.45,7.375,19.225,20.075,upper,0.01986755
542,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Koekoeb,-28.47,20.46,adult,uncertain,3,20,30,individual,CTmax,41.7218543,42.58278146,std_err,0.099337748,0.132450331,20,20,480,35.63333333,5.2,21.4,30.43333333,upper,0.086092715
544,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Levubu,-23.05,30.17,adult,uncertain,3,20,30,individual,CTmax,41.82119205,43.11258278,std_err,0.132450331,0.099337748,20,20,480,28.225,7.225,19.725,21,upper,0.129139073
546,Weldon_et_al_2018,Ceratitis capitata,Arthropoda,fruit fly,8,terrestrial,NA,<1,Nairobi,-1.28,36.82,adult,uncertain,3,20,30,individual,CTmax,43.50993377,44.07284768,std_err,0.198675497,0.231788079,20,20,480,27.03333333,12.23333333,19.26666667,14.8,upper,0.056291391
564,Wood_et_al_2014,Idotea_baltica,Arthropoda,isopod,3,ocean,brooding,<1,Oregrund,60.348682,18.453861,adult,uncertain,2,12,18,population,CTmax,20.784,28.153,CI,0.61,0.38,1,1,6,17.396917,-1.358601,7.376549,18.755518,upper,1.228166667
565,Wood_et_al_2014,Idotea_baltica,Arthropoda,isopod,3,ocean,brooding,<1,Kalmar,56.651083,16.33902,adult,uncertain,2,12,18,population,CTmax,21.6,27.966,CI,3.3,0.13,1,1,6,19.289993,-0.500006,8.973175,19.789999,upper,1.061
566,Wood_et_al_2014,Idotea_baltica,Arthropoda,isopod,3,ocean,brooding,<1,Malmo,55.570299,12.896592,adult,uncertain,2,12,18,population,CTmax,25.629,26.738,CI,2.7,0.74,1,1,6,19.190247,0.087644,9.866681,19.102603,upper,0.184833333
571,Yu_et_al_2018,Rhynchocypris_oxycephalus,Chordata,fish,2,freshwater,uncertain,<1,Hangzhou,30.38,120.15,uncertain,uncertain,4,14,29,population,CTmax,32.39,35.71,std_err,0.29,0.09,10,10,80,33.1,0.75,17.5,32.35,upper,0.221333333
572,Yu_et_al_2018,Rhynchocypris_oxycephalus,Chordata,fish,2,freshwater,uncertain,<1,Gaizhou,40.4,122.75,uncertain,uncertain,4,14,29,population,CTmax,32.4,35.75,std_err,0.23,0.12,10,10,80,27.65,-14.45,9.225,42.1,upper,0.223333333
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<1,Can,42.99991,-5.92123,juvenile,uncertain,2,14,24,individual,CTmax,34.8,35.2,std_dev,0.738,0.65,29,34,319,17.96667,-4.15,5.566667,22.11667,upper,0.04
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<2,Col,43.29492,-5.27671,juvenile,uncertain,2,14,24,individual,CTmax,32.5,33.1,std_dev,1.21,1.19,18,23,319,23.2,3.04,12.06,20.16,upper,0.06
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<3,HE,43.02275,-4.75022,juvenile,uncertain,2,14,24,individual,CTmax,35.2,35.2,std_dev,0.809,0.662,22,25,319,14.1,-6.55,2.55,20.65,upper,0
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<4,Huz,43.15771,-4.23107,juvenile,uncertain,2,14,24,individual,CTmax,32.9,34.1,std_dev,1.28,1.39,22,14,319,22.78333,3.016667,11.883333,19.76667,upper,0.12
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<5,Sen,43.0744,-5.24043,juvenile,uncertain,2,14,24,individual,CTmax,35.2,35.5,std_dev,0.704,0.653,26,25,319,17.74,-3.86,5.68,21.6,upper,0.03
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<6,Tor,43.38735,-4.82462,juvenile,uncertain,2,14,24,individual,CTmax,33.3,34.4,std_dev,1.19,1.18,21,22,319,22.33333,4.566667,12.533333,17.76667,upper,0.11
,Enriquez-Urzelai_et _al,Rana_temporaria,Chordata,frog,7,terrestrial,uncertain,<7,Vid,42.95523,-4.60121,juvenile,uncertain,2,14,24,individual,CTmax,34.8,35.5,std_dev,0.975,0.87,19,19,319,18.26,-2.92,6.44,21.18,upper,0.07
